Names	total	elements
		TMC4
		LRRC6
		CNGB1
		FAM134B
		CCNI
		COL4A5
		BC031864 /// LOC100507330 /// RP11-588H23.3
		PARN
		DPH1 /// OVCA2
		LOC728554 /// THOC3
		LHFPL2
		CCL22
		ACTR8
		POU3F1
		SIGLEC8
		C5AR1
		CDK20
		TGM7
		C1orf61
		TRAF5
		ARHGEF26-AS1
		GFPT2
		KCNC1
		C19orf10
		FKBP1A /// LOC101929368
		RP11-395B7.7
		FBXO31
		LOC101928306
		SHBG
		MYO15B
		C2orf44
		FBXO24
		PSMD11
		FAM204A
		LINC00841
		SDC2
		KDM2A
		ACADL
		UFL1
		MNX1-AS1
		SPG20
		CLDN6
		ZNF227
		QRICH1
		LZTFL1
		DCUN1D5
		CHMP7
		SMAD5-AS1
		PPP1R37
		DLEC1
		EMR1
		KCNA4
		LINC00475
		LOC284912 /// MB
		CASP5
		DOK4
		C1QBP
		CADPS2
		C3orf22
		PTCRA
		ELAVL2
		SET
		SHH
		EIF2S1
		LOC101928978
		CASP1
		BC041484 /// RP11-90K6.1
		NT5E
		NCSTN
		XCL1 /// XCL2
		SIGLEC1
		MAB21L2
		ZNF681
		RABGGTB
		IL15RA
		SERPINB3 /// SERPINB4
		COMTD1
		SLC48A1
		LAMA1
		APOL1
		AHCTF1
		ACTRT3
		ZNF713
		FAM230C
		SLC37A1
		LINC00226
		LCE1E
		SLC30A2
		FAS-AS1
		GSK3B
		ALAS1
		AMPD3
		PDE6G
		HMBS
		KIR2DS5
		ZDHHC17
		LOC101928399
		KIAA1045
		ZNF775
		OBSL1
		SLC23A1
		RBM4B
		HOXD8
		NKAIN1
		HIST1H2BG /// HIST1H2BJ
		POLR3A
		GAGE12B /// GAGE12F /// GAGE12G /// GAGE12I /// GAGE4 /// GAGE5 /// GAGE6 /// GAGE7
		RMND5A
		TELO2
		RINT1
		DUSP28
		PRR30
		CXCR1
		C9orf72
		CEND1
		TUNAR
		ERCC4
		CNTD1
		PXMP4
		CHD7
		WDFY3
		NAGLU
		IGKC
		POU4F3
		KLHDC3
		IZUMO1
		LOC100506282
		DUX1 /// DUX3 /// DUX5
		ZFP36L1
		RP11-53O19.3
		ATP5G3
		RP11-631N16.2
		KCNA3
		BTBD1
		LRRC49
		TPSB2
		SCT
		TIMM23
		C1RL-AS1
		TNFSF8
		MYOC
		COMP
		LOC388456
		RPL3
		SPINK4
		MYCLP1 /// MYCLP1
		LILRA1
		CRIP2
		GPER1
		SLC5A10
		SYNE1
		DCDC1 /// DCDC5
		MOBP
		NUDT16L1
		LOC100130815
		GUSBP11
		DHX29
		TNIP1
		PGR
		FGF10
		SAPCD1-AS1 /// SAPCD1-AS1 /// XXbac-BPG32J3.18
		RP11-410E4.1
		TACR3
		POU5F1P4
		PANK2
		RNF139
		EMR3
		RAB40C
		LRCH1
		GGTLC1
		TTTY13
		LOC285419
		CTRL
		MAGEA11
		HIST1H3A /// HIST1H3B /// HIST1H3C /// HIST1H3D /// HIST1H3E /// HIST1H3F /// HIST1H3G /// HIST1H3H /// HIST1H3I /// HIST1H3J
		ZNF660
		ATF6B /// TNXB
		KRTAP4-7
		STAM2
		PTPMT1
		CKAP2 /// IGLC1 /// IGLJ2 /// IGLJ2 /// IGLJ3 /// IGLJ3 /// IGLJ3 /// IGLV1-44 /// IGLV2-14 /// IGLV@
		HOOK1
		TCF20
		LRRC46
		MRPS6
		NFYB
		TMIE
		PLA2G16
		LY6G6D /// LY6G6F
		FAM95A
		MTCP1
		HARS2
		LRRC27
		PYGO1
		ST3GAL5
		TTC9B
		LMO1
		BC063675 /// CTD-3138B18.5
		OST4
		MKS1
		SLC30A3
		NKX2-2
		CCIN
		DOCK7
		HIST1H1C
		FAM127B
		LOC102724938
		KCNJ11
		DNAJB14
		TPR
		HIST1H4A
		XKR4
		COX7A2P2 /// COX7A2P2
		RHOBTB1
		CCDC169 /// CCDC169-SOHLH2
