Names	total	elements
		KIAA1906
		EEF2K
		MCAT
		RPLP2
		TSTD1
		SP4
		PIGT
		C9orf135
		SPATA16
		GLTPD2
		JCLN
		DPP6
		CKS2
		C14orf50
		FH
		FBS1
		NUTF2
		KRT9
		FSD2
		LALBA
		MRAS
		CD276
		CHMP2A
		HACL1
		PPP5C
		PKN3
		RNF126
		CLIC4
		KC6
		KBTBD9
		EFHD2
		GOLGA6B
		FAM19A2
		MAPKAPK3
		C12orf5
		TIAM2
		ROPN1B
		FKBP3
		ANKRD36
		GABRP
		TMEM39B
		HCFC2
		FLJ35740
		SNORA2B
		TUBGCP4
		WDR44
		CD247
		PDE10A
		METAP2
		NUMB
		CANT1
		SEC14L2
		C20orf117
		HIP1R
		SGSH
		CXCL10
		CYP27C1
		ICAM3
		ZNF594
		SHPK
		C14orf119
		CLIP3
		LPL
		CXorf1
		C1orf118
		ERCC-00024
		MAGEA12
		CCBE1
		C19orf69
		MED26
		NEK9
		TMEM183B
		APBA3
		SORBS3
		PIP5K2B
		MYLK3
		MON1A
		ZNF391
		SERPINA3
		PAX5
		GEMIN5
		YIPF3
		DUSP8
		C17orf103
		ACTR3
		ZNF225
		C14orf72
		LILRA4
		C5orf33
		FBXO16
		ZBED3
		EPDR1
		C11orf75
		C4orf44
		ARHGAP17
		PHKG2
		KCNT1
		EXT2
		C6orf130
		ERCC-00109
		ZNF581
		PPP3R2
		TMEM150B
		MURC
		LRRC16
		MIR192
		ACBD5
		DBX2
		MAP3K14
		TMCO5A
		ZNF117
		FLJ37512
		SCML2
		FGD4
		FAT2
		EPHA5
		SFRS13A
		TCF12
		ACTRT1
		PRO1768
		PAGE2B
		SRR
		DNAJC7
		ASPH
		ABCA8
		COL6A2
		PATE2
		RAPGEF1
		DPCR1
		PLS1
		PRLH
		SRBD1
		PDGFB
		LDHA
		GRIN2B
		C3orf17
		TPCN2
		IFNGR2
		RNF187
		GS85
		GRHPR
		WDR42A
		WDR60
		GABRA2
		CYP2A13
		KCNH6
		TOM1
		FLJ42562
		MUC4
		RAB7B
		HMGB1L1
		MFSD1
		MAP4K5
		KRTAP21-2
		PRR14
		C6orf160
		FLJ22447
		HMGB2
		MVP
		SNORD125
		C1orf126
		CD59
		PCDH11Y
		EAPP
		KRTAP19-2
		MGC71805
		BEND2
		B3GNT4
		SYNC1
		NLN
		UTS2
		KRTAP3-1
		LSM5
		OR5D16
		ATP6V1E2
		NBPF10
		ORMDL2
		TBC1D1
		PUS7
		FGF2
		C8orf15
		COMMD10
		SMAD5OS
		KLRC3
		SNX30
		TNS4
		PPM1L
		ABCB4
		SETDB2
		FAH
		ACAD10
		TSEN34
		LARP1B
		EDEM1
		SPATA2L
		CDC73
		ERCC-00096
		AKT1S1
		SURF6
		ARID3B
		OTUD7B
		SYNPR
		HSFY1
		C22orf34
		WDR5
		DYDC1
		GNRHR2
		PPP1R16B
		NFKBIE
		CDV3
		RP1L1
		CUEDC1
		SCRIB
		PON2
		ZNF77
		MUC5AC
		FLJ35785
		ARRDC1
		ADAM22
		ZNF592
		STX16
		TMEM48
		SAPS1
		KIAA1267
		INDO
		ADCY9
		SULT1C4
		ZNF600
		TTC16
		AARS
		C7orf40
		ALS2CR16
		KRT23
		FLJ21839
		OR4F6
		C10orf26
		CDCA8
		H2AFY
		KCNK16
		DLG1
		HSD17B2
		NCF1C
		SIDT1
		HMGCS2
		TLN1
		NSMCE4A
		ANKRD13B
		VCY1B
		TCL6
		CD2BP2
		C1orf27
		C16orf54
		TMEM39A
		NOC4L
		OR10AG1
		FRY
		EPS8
		GPR153
		ZNF66
		PIK3R5
		CCDC11
		UCMA
		CECR2
		TEKT1
		FITM2
		RING1
		FGF17
		TPI1
		ZNF484
		APOC4
		ASCC1
		ZSCAN16
		OR2T1
		OTUD3
		SLC25A35
		QPRT
		TRIM29
		MGC57359
		ZNF331
		CCT8
		ADCK4
		EFHC1
		PLD6
		MBD5
		ZNF728
		KRT37
		KDELC1
		AKNA
		ARPC3
		CARS
		MIR340
		ASH1L
		LILRP2
		KLRC1
		MOGS
		LCN1
		ZNF107
		NTM
		FAM114A2
		GAPDHL6
		TUBA1A
		MGC70870
		NAIP
		FAM81B
		GALNT2
		CNOT7
		ERCC-00099
		OR51S1
		ATXN2
		SST
		C20orf141
		SPATA9
		ANAPC1
		ZNF514
		GAP43
		DERL2
		FHAD1
		LCMT2
		C17orf56
		RPH3A
		RGS1
		SMAP1
		SLC26A6
		SYP
		HMGCR
		NCOA5
		PDZK1IP1
		COL9A3
		DDEF2
		LEO1
		ZIC5
		RALGAPB
		LGALS7
		HECTD1
		GLRA1
		HSD17B3
		SLC25A17
		LYVE1
		PDLIM4
		ANKHD1
		SLC38A3
		HLA-A29.1
		HSD3B2
		OR52N5
		CSNK1A1P
		AP1B1
		ARG99
		ESCO1
		MCHR2
		SYT8
		MSL3L2
		MIR320B1
		ZNF616
		OR1C1
		ZFP2
		GGCT
		CD70
		SHOC2
		DPEP1
		DNM1P35
		RNPS1
		SEZ6L
		TMEM123
		LAMB2
		C17orf81
		CAT
		SYCN
		SNORA36A
		ASPHD2
		FCGR1A
		FAM104B
		METTL11B
		NUDT4
		GDF1
		C21orf90
		SBSN
		FAM57B
		RPS25
		GPR68
		IL21
		WDYHV1
		AKR1A1
		MORF4L1
		ZNF233
		MIR512-2
		TIMD4
		REG3A
		BACH2
		PPP2R3A
		PBX2
		MIR376C
		SCO1
		FAM139A
		ESPNP
		APC2
		SYAP1
		SLFN12L
		PVRL1
		MIR764
		TIA1
		GOLM1
		TAF7
		NAPSB
		SLC22A18
		RNF141
		TCHH
		KIAA1430
		ACAT1
		UCHL1
		POU1F1
		DAP3
		PSMC2
		AQP10
		ADIG
		CTGLF1
		TSPAN8
		UHRF2
		HIST1H4G
		GOLGA2L1
		MYEF2
		COPZ1
		STIM1
		RAI14
		LRFN3
		RAB11FIP2
		BNIP2
		FUT6
		AIM1L
		ITSN2
		CDX2
		CACNA1B
		SPEM1
		GNB1L
		MIR548N
		LITAF
		UHMK1
		DUX2
		VAPA
		C4orf48
		FLJ33708
		TCAM1
		C14orf105
		RPS2
		LEPROT
		SUB1
		ADH7
		INSL5
		GAGE4
		KRT76
		SOX3
		C21orf57
		HIGD1A
		DPY19L2P4
		C20orf3
		GDAP1
		DDX60
		TNNI2
		GPN3
		MYH10
		C18orf22
		HSF4
		MAP6D1
		NCRNA00113
		ZNF167
		MIR1258
		HEATR4
		JPH4
		C12orf68
		GALNT7
		IL1RAP
		ANUBL1
		ERI2
		IL3
		KIAA1875
		AK2
		PICK1
		AKAP4
		HEG1
		LIN28
		ALS2CR11
		INO80C
		SNAPIN
		MIR15B
		EIF4B
		DDX55
		PHLDB1
		PSMA4
		SLCO4A1
		SLC37A4
		H2BFM
		OR2M5
		CCDC84
		DEFB106A
		PLA2G2F
		TAF6
		FAM83G
		RORA
		IL2RA
		FBXL15
		NFASC
		PLCB1
		C17orf88
		FLJ43093
		ETFDH
		PCSK4
		TBCA
		PPAPDC1A
		ZBTB33
		NOTO
		PLD4
		HSPA5
		CCNG1
		CCDC144B
		SNORD56B
		CNTNAP3
		KHDRBS3
		ICAM1
		DEFB109P1
		NEUROG2
		ANPEP
		GDF5
		SNX3
		LNX2
		NECAB3
		YDD19
		OSBPL11
		UBTD2
		C1orf151
		OSCP1
		PRAMEF19
		GDEP
		CORO7
		CCDC128
		SCYL1BP1
		HMX3
		PDZK1
		PEX11A
		ZNF323
		GTF2H2D
		FLJ90757
		FLJ32154
		MYO1G
		CCDC121
		FLJ45121
		F2RL3
		FUT5
		NUMA1
		ZNF30
		EXOSC6
		SP5
		GMPS
		C1orf186
		HIST1H3A
		BCAT1
		RAG2
		VPS13C
		TM6SF2
		LRPAP1
		PRKCA
		LMBR1
		C21orf67
		ARL13A
		GPR15
		RXFP2
FC TC	158	OR2K2
		MIR489
		EVC
		UNQ5830
		MIR1245
		CD82
		SLC24A5
		USP42
		FLJ14186
		BST1
		NDUFA13
		ZNF568
		LIN28B
		NAB2
		SOST
		HRAS
		C1orf125
		SLAMF6
		DPPA2
		ARMCX3
		SNORD61
		FAM150A
		FKSG29
		SLITRK3
		MEOX2
		HBBP1
		ZNF121
		TRIOBP
		SLC41A1
		MYL9
		PTGFRN
		C2orf15
		ZNF660
		RPP21
		SLC22A12
		BMI1
		ZNF689
		SDF2L1
		RGL4
		UQCRH
		ZNF17
