Names	total	elements
		CA4
		FNIP2
		SNORD54
		ABHD13
		LINGO2
		DNAJC21
		TMEM97
		PDE6B
		RGNEF
		PDE4B
		GOSR2
		ELP2
		EIF1AD
		BEND3
		PHB
		ARMCX4
		C7orf64
		VGLL4
		OAT
		E2F8
		GALK1
		TRIM23
		KDELC2
		UBE2E3
		MEOX1
		MPP7
		LAIR2
		TMEM143
		GSDM1
		P76
		EVI5
		LSM10
		C8orf83
		OAS3
		FURIN
		NACAP1
		ITGAV
		CYC1
		MFSD2
		RPS26
		ZNF217
		PLEKHA1
		JPH4
		CPPED1
		FAM19A3
		KCNJ14
		GJC3
		ACSM5
		SHCBP1
		KRT73
		ATP5O
		SGCA
		ANKRD30B
		ERCC-00019
		ALDH8A1
		ZBTB9
		CTXN2
		IAH1
		NFKBIB
		USF1
		CAPN5
		WDR41
		MGC13168
		PSMD13
		C17orf108
		NRBP2
		CAB39L
		OR1J4
		PKDCC
		SYT17
		SLC6A9
		SYT14
		HIVEP3
		ERCC-00111
		MIR888
		COL10A1
		DCTN5
		RIMBP3C
		CCDC71
		BAX
		ECSCR
		HBA1
FC TC	119	GSTCD
		CPNE4
		ANKLE2
		ACTR5
		KIF4A
		UBE2J1
		GCGR
		FLJ43080
		SNORD62B
		AP1S3
		MRAS
		MIER2
		DYNC1LI1
		DEFB115
		TBL1XR1
		TCAP
		TRIOBP
		STXBP4
		FLJ44451
		C20orf152
		SLC22A12
		IL9
		TTC4
		GTF2E1
		PAFAH1B1
		FBLIM1
		MIR548C
		GDI1
		IGFBP7
		CRHR2
		ABCA8
		PGLYRP2
		VBP1
		AKAP10
		ALG13
		PDGFB
		RSPO4
		TBC1D20
		AOF2
		GJB7
		MIR602
		ACCN5
		CCRK
		LRRC52
		ANAPC11
		TMPRSS5
		TRAPPC1
		APH1A
		PUS7
		RNF144B
		TBX19
		TRIM71
		CEBPA
		C6orf118
		NOV
		MIOS
		IMP5
		TMEM168
		ITPRIP
		TNIP3
		GLTP
		RHOT1
		NKD1
		OBP2A
		NKAIN3
		OR1I1
		AGGF1
		C1orf141
		PGM2L1
		CDSN
		C8orf13
		CCDC113
		ARD1B
		BMS1
		GCDH
		HSD17B7P2
		FLJ37307
		HOTAIR
		VSTM2B
		TMEM166
		PDLIM4
		FCGR3B
		ZNF469
		CAT
		METTL13
		DOC2B
		SEPW1
		PSMB3
		POLR3GL
		WFDC1
		HIGD2A
		ZBTB25
		GPR108
		TESSP5
		SCARNA20
		GNG5
		BTBD2
		FAM90A7
		RALGDS
		CMTM6
		MIR125A
		CLTC
		KARS
		PLXDC2
		MGA
		IL3RA
		ZNF451
		MAPK3
		SPINT1
		LDLRAD3
		TGFA
		METTL7A
		CLYBL
		AQP5
		ZNF443
		C7orf34
		SYVN1
		ABCB8
		DHRS2
