Names	total	elements
		OPN1LW
		CDC73
		ERCC-00096
		MLF2
		AKT1S1
		SYNPR
		WDR5
		MATN2
		DYDC1
		C19orf23
		NFKBIE
		SMA4
		EGLN3
		FLJ35785
		CLLU1OS
		HDGF
		MAGEB4
		ZNF592
		SAPS1
		TAS2R38
		ZNF833
		TXNDC17
		RPS6KC1
		MIR577
		TTC16
		C7orf40
		SFRS11
		ALS2CR16
		KRT23
		C10orf26
		H2AFY
		KCNK16
		MLC1
		OR4D1
		KPNA7
		ANKRD36B
		GLTP
		NCF1C
		TLN1
		ANKRD13B
		VCY1B
		CD2BP2
		C1orf27
		C16orf54
		RAB3IP
		PCSK1
		TMEM39A
		EPS8
		PCDHAC1
		GPR153
		FOXJ1
		TPI1
		ZNF484
		SNORD67
		ASCC1
		OTUD3
		GPR114
		QPRT
		PLD6
		INO80D
		DPPA5
		KRT37
		KDELC1
		AKNA
		HLF
		GABRQ
		C1orf141
		UTP14C
		MMP20
		GPR132
		C6orf62
		SNORA49
		NTM
		HPYR1
		NGFRAP1
		NHLH2
		TXNDC3
		FLJ20309
		TMEM176A
		ARD1B
		OR51S1
		WNK4
		VTRNA1-2
		SST
		C20orf141
		SPATA9
		ZNF514
		FAM127A
		C17orf56
		ANAPC10
		HSD17B7P2
		SMAP1
		SLC26A6
		MIRLET7A1
		NCOA5
		PDZK1IP1
		ZFP62
		ZCCHC6
		INO80B
		C21orf77
		LGALS7
		GLRA1
		HSD17B3
		TULP1
		IQCE
		ANKHD1
		KRT38
		AMMECR1L
		OR52N5
		AP1B1
		SHB
		SYT8
		MIR320B1
		ZNF616
		OR1C1
		ERCC-00143
		ZFP2
		SHOC2
		HNRPK
		DPEP1
		PGA5
		TMEM123
		PEX5
		LAMB2
		RPS6KA1
		SNORA36A
		USP12
		FCGR1A
		RORC
		FAM104B
		C6orf61
		METTL11B
		MIR27B
		FAM57B
		HTR2A
		TLR2
		RSL1D1
		PMCHL1
		OR1S2
		TCN2
		KDSR
		RALBP1
		MIR376C
		SCO1
		FAM139A
		CCDC13
		TEX264
		DHCR24
		MIR764
		MIR1470
		PTPDC1
		TAF7
		NAPSB
		RNF141
		ACAT1
		KRT39
		PSMC2
		OR2J2
		ARNT
		CES4
		C9orf9
		HIST1H4G
		ANGPTL7
		BNIP2
		FUT6
		AIM1L
		ITSN2
		CDX2
		TMEM44
		GNB1L
		SMC4
		LITAF
		UHMK1
		LY6G6C
		VAPA
		TCAM1
		KRTAP5-4
		FLJ40411
		RPS2
		GSTO2
		RAF1
		SUB1
		PRUNE
		SOX3
		C21orf57
		DPY19L2P4
		DUOXA1
		DENND4B
		C18orf22
		TMEM9B
		HSF4
		MAP6D1
		NCRNA00113
		HEATR4
		GALNT7
		SEMA3B
		AK2
		PICK1
		C3orf75
		HEG1
		ALS2CR11
		FUT10
		OR2D2
		OR2M5
		TAF6
		LAYN
		IL2RA
		PLCB1
		XPNPEP1
		ADRA2B
		C17orf88
		TBCA
		PPAPDC1A
		ZBTB33
		PLD4
		C15orf63
		HSPA5
		CCNG1
		CNTNAP3
		ALOX12P2
		NEUROG2
		ANPEP
		PROM1
		LNX2
		YDD19
		OSBPL11
		C1orf151
		PRPF38A
		LRRC3
		OSCP1
		WDR41
		AMY2B
		GSTO1
		CORO7
		PTPN3
		PDLIM3
		MYO1G
		HIVEP3
		FLJ45121
		F2RL3
		FUT5
		EXOSC6
		SYNPO
		BCAT1
		TM6SF2
		OGDHL
		C14orf101
		MIR375
FC TC	43	SMARCD3
		TMEM195
		CRNKL1
		MIR489
		WSCD1
		FLJ14186
		PAQR3
		TERF2
		GBX2
		DEGS1
		MEF2C
		IFI27L1
		PLUNC
		C20orf201
		IL17A
		PYCR1
		KRTAP3-1
		ABHD3
		CCBL1
		POLR2J2
		POP5
		MIR874
		UBC
		INSL3
		MIR548I4
		CYorf15B
		AP4M1
		CHTF18
		C11orf61
		BCAR3
		CCDC47
		GNG3
		ZBTB25
		HTRA4
		ERCC-00076
		LUC7L
		C17orf54
		B3GNT1
		HLA-DRB6
		MSTN
		NEDD9
		ZNF323
		MKI67IP
CB	520	ANAPC4
		PDLIM2
		MAX
		SORL1
		HMX1
		TRAF5
		WHSC1
		CHST15
		N4BP2L2
		OPHN1
		PMF1
		HS2ST1
		PIRT
		VAX2
		SLC24A5
		NAALADL1
		LIMD1
		PTRF
		PTENP1
		UBN2
		KCNQ5
		UNG
		HEPHL1
		ARHGAP15
		PBEF1
		PSG4
		MIR637
		C17orf72
		OPA3
		KIN
		TNRC18
		CXorf23
		SAMD10
		C19orf75
		LXN
		SCRN1
		RER1
		T1560
		MIR16-2
		HSFY2
		ACADVL
		ABCG8
		OR2M2
		SPAG6
		ZDHHC22
		GGTLC2
		MCM10
		NUP133
		TRIM56
		PRSS37
		TAC1
		HERC3
		PCDHA12
		KLRC4
		ZNF677
		ZNF536
		RTP1
		FLJ44060
		C22orf23
		PCSK9
		SLC11A1
		PCDHGA4
		TRPV1
		ZNF287
		AMTN
		ZNF165
		KIAA1429
		HORMAD2
		INTS7
		BAT2L
		ZNF409
		KRTAP1-3
		MAF1
		CXXC6
		KCNS2
		IAPP
		PAX6
		LHX4
		SPINK5L3
		METTL6
		OR4D11
		DNPEP
		ZNF763
		STAB1
		LRRC49
		ARMC9
		NFE2L3
		SSB
		METT11D1
		TNFSF8
		CDR1
		C8orf31
		DIO2
		MOBP
		PSMD10
		CHMP1A
		HDAC11
		FAM50B
		FSIP2
		GNG11
		SRPX
		MBNL3
		GAGE10
		ZNF559
		ZMYM4
		TACSTD1
		TYR
		RBM41
		PRDM5
		NEUROD6
		MIR541
		LIPC
		TGM4
		TCEAL3
		GATA2
		EBNA1BP2
		PLEKHJ1
		KLHL20
		FPR2
		TMIE
		SNORD96B
		C1orf170
		CRSP2
		MKX
		C8orf54
		CTSO
		NDEL1
		CISD3
		KIAA1751
		NDUFA5
		COL12A1
		KCTD14
		ZAP70
		ATRX
		IL26
		UBTFL5
		GSTA1
		C20orf95
		EPB41L4A
		KLK6
		RNF41
		RHOF
		CALB1
		TCEB3CL
		PTPRZ1
		HRK
		RGS3
		PRICKLE3
		MIR635
		KATNAL1
		LCE1B
		TMEM84
		KIAA1530
		ZC3H3
		KIAA1797
		UBLCP1
		KIAA1143
		PRKG2
		XRCC6
		APOL4
		C11orf34
		HMCN1
		NDNL2
		CUGBP2
		SGIP1
		F8A3
		KRTAP10-2
		TRIM37
		MIR486
		SNORA13
		PRH1
		SLC32A1
		POLA1
		KIAA1524
		ZNF502
		PLA1A
		SMPD1
		CWF19L1
		DBT
		C8orf55
		SHANK1
		DBX1
		SLC38A2
		RUVBL1
		NDUFA4
		ANKRD11
		DUSP1
		EGFLAM
		ZNF259
		COL4A3BP
		ZNF497
		C16orf50
		RUNDC3B
		CCDC127
		KIAA1345
		C6orf78
		CES7
		KRI1
		LIX1
		EXOSC8
		PTF1A
		ATG9B
		SPACA5B
		ZNF429
		DLL3
		KRT14
		C2orf90
		GPATCH1
		CCDC140
		POMP
		CSN1S2A
		GDAP2
		SNORD113-7
		H1FNT
		PYGL
		C11orf67
		CHTF8
		CD79A
		CCDC111
		C16orf90
		TMCO4
		CAMK2A
		PCDHB10
		TNFRSF1B
		GTF3C4
		HMGCL
		GIN1
		SGMS2
		ARPM2
		RELA
		TRIM71
		QTRTD1
		MBD3L5
		ZNF280B
		IL7R
		ADAMTS13
		NPCDR1
		DPEP2
		MIR1202
		RAB11A
		MTRF1
		TMEM150A
		M6PRBP1
		CDNF
		NOV
		HPX
		ARRDC1
		PIGW
		FRMD7
		AKR1C3
		C3orf15
		YKT6
		CNIH3
		DNAJC24
		CDKN2A
		ATCAY
		ASB12
		IQCC
		PPP4R4
		UGT1A5
		MIR553
		CLIC6
		PRSS1
		NLF2
		RAB2A
		C6orf162
		ZNF572
		KIAA0895L
		MIR608
		PADI1
		SH3BP4
		ADCK1
		RPA4
		PPP1R13B
		CEACAM6
		FLJ23754
		FLJ16686
		ARF6
		LRRN2
		SHC1
		IRX5
		LYZL1
		NCRNA00173
		SIX5
		PRR16
		GHR
		MTRR
		BBS7
		C14orf145
		SLC38A10
		LLGL2
		TMEM120B
		MIR1278
		FLJ42627
		PNLDC1
		TMEM202
		GUCA1B
		DYNC1H1
		PPP1R2P3
		IL27RA
		C5orf36
		CPAMD8
		PRG3
		FLJ40292
		SLC35F1
		SVEP1
		SPAG9
		ARR3
		FSHR
		RIC8A
		PSMD2
		NUDCD2
		RHOV
